"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C034",0.013569094,0.002426394,-0.00273663,0.08841536,-0.028273822,-0.043594703,-0.034455994,-0.017640728,0.103406761,-0.17656808,0.079773526,-0.241858577,-0.064183341,0.035663108,-0.017112301,0.014024475,0.078305277,-0.041596518,"CRP"
"C035",0.021867764,0.039726023,-0.020599927,-0.029890809,0.04249169,0.041211724,0.209435826,-0.071479982,0.013895814,-0.0550617,-0.093354192,-0.237867543,0.185618504,0.097505621,-0.084643558,0.033597768,0.105219346,0.002004165,"CRP"
"C036",-0.03339561,0.00928494,-0.089407008,-0.092766468,-0.06500665,-0.030127291,0.023502408,-0.06261521,-0.004617732,0.155677453,-0.071404786,-0.153364348,-0.022798039,-4.86e-05,-0.146091144,-0.02804044,0.100644886,0.00706481,"CRP"
"C037",0.029648959,0.035337106,-0.000340712,0.009635056,-0.010407076,0.044156572,0.050293905,-0.006801376,0.078412737,-0.143945515,-0.084658654,0.070712834,0.019099471,-0.009423211,-0.075895326,0.018192286,0.014774451,-0.017943263,"CRP"
"C042",0.056280819,0.101182527,0.030828323,-0.092663465,0.014815555,-0.057566012,0.119519858,-0.081345871,0.052918066,0.122043405,-0.066525417,0.150624044,0.180587152,0.028723399,0.053750652,0.010362635,0.295605874,-0.059500871,"CRP"
"C043",0.11601964,0.15842975,0.04760453,0.022230248,0.089081997,0.102860214,0.139351583,-0.022650633,-0.007975527,0.12966052,-0.120100649,-0.228743192,-0.005197503,0.034814095,0.102724432,0.080260907,0.251268817,0.09838742,"CRP"
"C044",0.121580556,0.059524413,0.079255879,0.089837992,0.046680318,0.183456452,0.023057381,-0.003417312,0.06528947,-0.164069311,0.144482226,-0.127743025,-0.069056634,0.004854856,0.060931886,0.077177525,0.18554835,-0.012602097,"CRP"
"C045",-0.118634139,-0.080808169,-0.104940487,0.028612093,-0.088984084,0.055716008,0.009028426,-0.049116016,0.06511146,-0.01844949,-0.125416631,-0.405402769,0.019074415,-0.045334377,-0.092981478,-0.104494624,0.141688124,-0.072187037,"CRP"
"C047",0.084865737,0.083459681,0.038057773,-0.012154638,-0.088149979,-0.041871499,0.102264362,-0.005713386,-0.028963324,-0.027995018,0.204470615,-0.148664052,0.139918336,0.033924051,-0.111983949,-0.04789472,0.58578381,0.031834531,"CRP"
"C049",0.021281026,0.047658394,0.015352905,-0.106715141,0.013468201,-0.049756348,0.041215953,-0.041333685,-0.049742872,0.058264225,0.137471552,-0.062803116,0.093673722,-0.006248316,-0.272960736,-0.004909503,0.001972488,0.030970019,"CRP"
"C051",0.177077111,0.074534027,0.034324291,0.088165501,0.05208257,-0.006563242,0.20826692,0.010454812,0.072408438,0.009596923,0.036809288,0.077481327,-0.009972887,0.055717071,0.070524533,0.112844969,0.307509161,0.075155114,"CRP"
"C079",0.040071535,-0.051356681,0.082453435,0.023957681,-0.049731543,-0.135817899,-0.037617269,0.014211026,-0.06122025,-0.232898396,-0.228616943,-0.153002011,0.083625083,-0.077321118,-0.082057616,-0.026230778,-0.091867495,0.024699225,"CRP"
"C080",0.016939143,-0.001832037,-0.038820366,0.039727584,0.057320904,0.096250861,-0.018316433,0.043796671,0.058286826,0.050714798,0.051208586,-0.165465793,-0.103235252,0.000784254,-0.003027273,0.06985557,0.250683597,-0.028241962,"CRP"
"C081",0.082535991,0.053519578,-0.025508223,-0.069271806,0.079569893,-0.045913656,0.256618317,-0.0975516,-0.084754642,0.18870926,-0.175852508,-0.246962747,-0.234637018,0.107335284,-0.092054515,0.042599215,0.325372645,0.008194023,"CRP"
"C082",-0.002000267,0.032945739,-0.034670631,-0.171897407,0.026094382,0.090115738,0.075675534,-0.019946627,0.053280844,-0.059470852,0.398715636,-0.025274244,0.152358322,0.091880608,-0.030802397,0.031646462,0.246325043,-0.009792016,"CRP"
"C083",-0.024848068,-0.002754119,-0.024194416,0.025440429,0.040550185,0.036454014,0.019823471,-0.016194411,-0.024951666,-0.148487952,0.061939721,0.300156375,0.036255741,0.0119433,-0.161703394,0.039380105,-0.245142064,0.031320307,"CRP"
"C085",0.027360254,-0.02019646,0.003743098,-0.144039674,-0.014473327,-0.00974101,0.021066907,-0.008731216,-0.049005045,0.130146215,0.211594472,0.023440121,-0.044837638,-0.004022726,0.020356436,0.008969843,0.179806566,-0.052378917,"CRP"
"C086",-0.066653301,-0.060749954,-0.062420014,0.012702966,-0.039233748,-0.037350885,0.009755048,-0.079248324,-0.060662453,-0.236653363,0.029052339,-0.640970375,-0.147020296,0.007638427,-0.004037427,-0.060087034,0.343739298,0.004945204,"CRP"
"C087",0.039955764,0.00570831,0.074450786,0.016799483,0.035668094,0.072340834,-0.039271043,0.021935971,-0.039044877,-0.086880209,-0.010542294,0.342147263,0.017862449,-0.041765763,0.089195397,-0.017543181,0.041165847,0.054198683,"CRP"
"C088",0.042798018,-0.000359041,-0.019035443,0.022392435,0.051637753,-0.014637069,0.04119386,-0.064267206,-0.05519484,-0.088425319,-0.113324225,-0.22019203,0.012803551,0.012441725,-0.028136995,0.054426212,0.234022662,-0.089381808,"CRP"
"C089",-0.07891315,-0.02321305,-0.007365328,-0.137449404,-0.051800262,0.081816663,-0.077542845,0.052719293,-0.012261838,-0.198107387,0.038560656,0.211502634,-0.081830238,-0.037217104,-0.116477182,-0.097032725,-0.536202979,-0.064754442,"CRP"
"C090",-0.05957675,-0.065043314,-0.076460847,-0.010211443,-0.028746765,-0.066110334,0.008178326,-0.125130872,-0.058444285,-0.19107428,0.123209979,-0.651815945,0.052089545,-0.003880689,0.00627508,-0.0192658,0.00668071,-0.095488556,"CRP"
"C091",-0.099651066,-0.172619068,-0.015216179,-0.111105948,-0.12127339,-0.097440142,0.027782767,-0.072125952,-0.183835419,-0.054171333,0.075080543,0.064551812,-0.046811068,-0.092981897,-0.210968465,-0.147288278,-0.442176435,0.053241964,"CRP"
"C092",-0.002160124,0.047664779,0.004931261,0.007368906,-0.029913385,0.051761102,-0.004163537,0.012675726,-0.022825055,-0.00995693,0.1366656,-0.008013813,0.03364703,-0.014908714,0.080075939,0.010742603,-0.273319885,0.065205925,"CRP"
